negociacao,c_v,mercado,acao,obs,quantidade,preco,total,d_c
bovespa,v,vista,cielo on ej nm,,200,9.59,1918,c
bovespa,v,vista,cielo on ej nm,#,800,9.59,7672,c
bovespa,c,vista,petrobras pn ej n2,d,1000,24.11,24110,d
bovespa,c,vista,petrobras pn ej n2,d#2,400,22.5,9000,d
bovespa,c,vista,petrobras pn ej n2,d#,500,22.5,11250,d
bovespa,c,vista,petrobras pn ej n2,d,400,22.62,9048,d
bovespa,c,vista,petrobras pn ej n2,d,2000,23.93,47860,d
bovespa,c,vista,petrobras pn ej n2,d,300,24,7200,d
bovespa,c,vista,petrobras pn ej n2,d,700,24,16800,d
bovespa,c,vista,petrobras pn ej n2,d,600,22.62,13572,d
bovespa,c,vista,petrobras pn ej n2,d#2,100,22.5,2250,d
bovespa,v,vista,petrobras pn ej n2,,100,23.99,2399,c
bovespa,v,vista,petrobras pn ej n2,,200,23.99,4798,c
bovespa,v,vista,petrobras pn ej n2,,200,23.99,4798,c
bovespa,v,vista,petrobras pn ej n2,d,1000,23.97,23970,c
bovespa,v,vista,petrobras pn ej n2,d,1000,23.99,23990,c
bovespa,v,vista,petrobras pn ej n2,,400,23.99,9596,c
bovespa,v,vista,petrobras pn ej n2,,100,23.99,2399,c
bovespa,v,vista,petrobras pn ej n2,d,1000,22.52,22520,c
bovespa,v,vista,petrobras pn ej n2,d,1000,24.1,24100,c
bovespa,v,vista,petrobras pn ej n2,d,1000,22.51,22510,c
bovespa,v,vista,petrobras pn ej n2,d,1000,24.02,24020,c
bovespa,c,vista,usiminas pna n1,d,900,9.64,8676,d
bovespa,c,vista,usiminas pna n1,d,100,9.64,964,d
bovespa,v,vista,usiminas pna n1,d,1000,9.76,9760,c
bovespa,c,vista,itauunibanco pn ed n1,,1000,36.99,36990,d
bovespa,c,vista,randon part pn n1,,100,9.45,945,d
bovespa,c,vista,randon part pn n1,,200,9.45,1890,d
bovespa,c,vista,randon part pn n1,,700,9.45,6615,d
bovespa,v,vista,itauunibanco pn ed n1,,900,36.86,33174,c
bovespa,v,vista,itauunibanco pn ed n1,#,100,36.86,3686,c
bovespa,c,vista,petrobras pn ej n2,d,100,24.94,2494,d
bovespa,c,vista,petrobras pn ej n2,d,400,24.93,9972,d
bovespa,c,vista,petrobras pn ej n2,d,400,24.94,9976,d
bovespa,c,vista,petrobras pn ej n2,d,100,24.93,2493,d
bovespa,v,vista,petrobras pn ej n2,d,1000,24.81,24810,c
bovespa,v,vista,randon part pn n1,,600,9.51,5706,c
bovespa,v,vista,randon part pn n1,,300,9.51,2853,c
bovespa,v,vista,randon part pn n1,,100,9.51,951,c
bovespa,c,vista,banrisul pnb ej n1,d,1000,23.13,23130,d
bovespa,v,vista,banrisul pnb ej n1,d,100,23.06,2306,c
bovespa,v,vista,banrisul pnb ej n1,d,100,23.06,2306,c
bovespa,v,vista,banrisul pnb ej n1,d,100,23.06,2306,c
bovespa,v,vista,banrisul pnb ej n1,d,100,23.06,2306,c
bovespa,v,vista,banrisul pnb ej n1,d,200,23.06,4612,c
bovespa,v,vista,banrisul pnb ej n1,d,100,23.06,2306,c
bovespa,v,vista,banrisul pnb ej n1,d,100,23.06,2306,c
bovespa,v,vista,banrisul pnb ej n1,d,100,23.06,2306,c
bovespa,v,vista,banrisul pnb ej n1,d,100,23.06,2306,c
bovespa,c,vista,gerdau pn n1,d,1000,15.81,15810,d
bovespa,v,vista,gerdau pn n1,d,1000,16.06,16060,c
bovespa,c,vista,petrobras pn n2,d,1000,25.4,25400,d
bovespa,v,vista,petrobras pn n2,d,800,25.2,20160,c
bovespa,v,vista,petrobras pn n2,d#,200,25.2,5040,c
bovespa,c,vista,cielo on nm,,800,10.79,8632,d
bovespa,c,vista,cielo on nm,#,200,10.79,2158,d
bovespa,c,vista,gerdau pn n1,,500,15,7500,d
bovespa,c,vista,itauunibanco pn ed n1,,500,37.6,18800,d
bovespa,c,vista,rumo s.a. on nm,,200,17.53,3506,d
bovespa,c,vista,rumo s.a. on nm,,300,17.53,5259,d
bovespa,c,vista,gerdau met pn n1,,300,7.28,2184,d
bovespa,c,vista,gerdau met pn n1,,100,7.28,728,d
bovespa,c,vista,gerdau met pn n1,,100,7.28,728,d
bovespa,c,vista,gerdau met pn n1,,300,7.28,2184,d
bovespa,c,vista,gerdau met pn n1,,100,7.28,728,d
bovespa,c,vista,gerdau met pn n1,,100,7.28,728,d
bovespa,c,vista,brf sa on nm,,400,23.81,9524,d
bovespa,c,vista,brf sa on nm,#2,100,23.81,2381,d
bovespa,c,vista,braskem pna n1,d,100,45.93,4593,d
bovespa,c,vista,braskem pna n1,d,300,45.94,13782,d
bovespa,c,vista,braskem pna n1,d,100,45.93,4593,d
bovespa,v,vista,braskem pna n1,d,100,46.07,4607,c
bovespa,v,vista,braskem pna n1,d,100,46.07,4607,c
bovespa,v,vista,braskem pna n1,d,300,46.06,13818,c
bovespa,v,vista,brf sa on nm,,300,24.82,7446,c
bovespa,v,vista,brf sa on nm,,200,24.82,4964,c
bovespa,v,vista,gerdau met pn n1,,400,7.31,2924,c
bovespa,v,vista,gerdau met pn n1,,600,7.31,4386,c
bovespa,v,vista,gerdau pn n1,,500,15.41,7705,c
bovespa,v,vista,rumo s.a. on nm,,500,18.6,9300,c
bovespa,v,vista,itauunibanco pn n1,,500,37.45,18725,c
bovespa,c,vista,mrv on nm,d,500,14.41,7205,d
bovespa,v,vista,mrv on nm,d,500,14.32,7160,c
bovespa,c,vista,petrobras pn n2,d,500,25.42,12710,d
bovespa,v,vista,petrobras pn n2,d,500,25.46,12730,c
bovespa,c,vista,braskem pna n1,d,100,49.27,4927,d
bovespa,c,vista,braskem pna n1,d,300,49.28,14784,d
bovespa,c,vista,braskem pna n1,d,100,49.27,4927,d
bovespa,v,vista,braskem pna n1,d,300,49.29,14787,c
bovespa,v,vista,braskem pna n1,d,100,49.28,4928,c
bovespa,v,vista,braskem pna n1,d,100,49.29,4929,c
bovespa,c,vista,gerdau pn n1,d,400,15.95,6380,d
bovespa,c,vista,gerdau pn n1,d,100,15.95,1595,d
bovespa,v,vista,gerdau pn n1,d,500,15.93,7965,c
bovespa,c,vista,ambev s/a on,d,100,17.31,1731,d
bovespa,c,vista,ambev s/a on,d,400,17.32,6928,d
bovespa,v,vista,ambev s/a on,d,200,17.69,3538,c
bovespa,v,vista,ambev s/a on,d,300,17.69,5307,c
bovespa,c,vista,brasil on nm,d,100,48.29,4829,d
bovespa,c,vista,brasil on nm,d#,400,48.46,19384,d
bovespa,v,vista,brasil on nm,d,100,48.52,4852,c
bovespa,v,vista,brasil on nm,d,100,48.52,4852,c
bovespa,v,vista,brasil on nm,d,100,48.52,4852,c
bovespa,v,vista,brasil on nm,d,100,48.52,4852,c
bovespa,v,vista,brasil on nm,d,100,48.52,4852,c
bovespa,c,vista,cielo on nm,,900,10.96,9864,d
bovespa,c,vista,cielo on nm,#,100,10.96,1096,d
bovespa,c,vista,fleury on nm,d,500,22.04,11020,d
bovespa,v,vista,fleury on nm,d,500,21.88,10940,c
bovespa,c,vista,minerva on nm,d,400,5.51,2204,d
bovespa,v,vista,minerva on nm,d,400,5.62,2248,c
bovespa,c,vista,randon part pn n1,,100,9.84,984,d
bovespa,c,vista,randon part pn n1,,100,9.84,984,d
bovespa,c,vista,randon part pn n1,,100,9.84,984,d
bovespa,c,vista,randon part pn n1,,300,9.84,2952,d
bovespa,c,vista,randon part pn n1,,400,9.84,3936,d
bovespa,c,vista,ambev s/a on,,500,18.07,9035,d
bovespa,v,vista,cielo on nm,,1000,11.7,11700,c
bovespa,c,vista,itauunibanco pn ed n1,,500,38.63,19315,d
bovespa,v,vista,ambev s/a on,,500,18.74,9370,c
bovespa,c,vista,marcopolo pn n2,,1000,3.76,3760,d
bovespa,v,vista,brf sa on nm,,200,22.31,4462,c
bovespa,v,vista,brf sa on nm,,400,22.31,8924,c
bovespa,v,vista,brf sa on nm,,100,22.31,2231,c
bovespa,v,vista,brf sa on nm,,100,22.31,2231,c
bovespa,v,vista,brf sa on nm,,100,22.31,2231,c
bovespa,v,vista,brf sa on nm,,100,22.31,2231,c
bovespa,v,vista,marcopolo pn n2,,1000,3.89,3890,c
bovespa,v,vista,randon part pn n1,,1000,9.86,9860,c
bovespa,v,vista,fleury on nm,,1000,20.44,20440,c
bovespa,v,vista,petrobras pn n2,,1000,27.03,27030,c
bovespa,c,vista,brf sa on nm,,1000,22.05,22050,d
bovespa,c,vista,fleury on nm,,300,20.28,6084,d
bovespa,c,vista,fleury on nm,,700,20.28,14196,d
bovespa,c,vista,minerva on nm,#,100,6.16,616,d
bovespa,c,vista,minerva on nm,,900,6.16,5544,d
bovespa,c,vista,petrobras br on nm,,500,24.68,12340,d
bovespa,v,vista,minerva on nm,,400,6.41,2564,c
bovespa,v,vista,minerva on nm,,100,6.41,641,c
bovespa,v,vista,minerva on nm,,500,6.4,3200,c
bovespa,v,vista,petrobras br on nm,,500,25.11,12555,c
bovespa,c,vista,rumo s.a. on nm,,500,19.12,9560,d
bovespa,c,vista,gerdau met pn n1,,100,7.38,738,d
bovespa,c,vista,gerdau met pn n1,,800,7.38,5904,d
bovespa,c,vista,gerdau met pn n1,,100,7.38,738,d
bovespa,c,vista,marcopolo pn n2,,1000,3.97,3970,d
bovespa,c,vista,marfrig on nm,,900,5.42,4878,d
bovespa,c,vista,marfrig on nm,,100,5.42,542,d
bovespa,c,vista,minerva on nm,,700,6.29,4403,d
bovespa,c,vista,minerva on nm,,200,6.29,1258,d
bovespa,c,vista,minerva on nm,#,100,6.29,629,d
bovespa,c,vista,randon part pn n1,,1000,9.49,9490,d
bovespa,v,vista,rumo s.a. on nm,,500,19.19,9595,c
bovespa,v,vista,usiminas pna n1,,1000,10.05,10050,c
bovespa,c,vista,viavarejo on nm,,1000,4.82,4820,d
bovespa,c,vista,minerva on nm,,1000,6.49,6490,d
bovespa,c,vista,petrobras br on nm,d,100,23.94,2394,d
bovespa,c,vista,petrobras br on nm,d,100,23.94,2394,d
bovespa,c,vista,petrobras br on nm,d,100,23.94,2394,d
bovespa,c,vista,petrobras br on nm,d,700,23.94,16758,d
bovespa,v,vista,petrobras br on nm,,500,24.3,12150,c
bovespa,v,vista,petrobras br on nm,d,500,24.25,12125,c
bovespa,v,vista,petrobras br on nm,d,500,24.25,12125,c
bovespa,c,vista,gerdau pn ed n1,d,100,14.75,1475,d
